scenario,horizon,year,heat_kwh,elec_kwh,cost_chf,t_min,h_below0,h_below5,t_max,h_above26
A do nothing,now,2026,0,13195.3,3826.7,0.9,0,1574,26.5,39
O oil boiler,now,2026,55600.4,5905.2,10221.2,5.8,0,0,26.5,40
B electric,now,2026,55448.1,68643.4,19906.6,5.5,0,0,26.5,40
C wood only,now,2026,54887.8,13195.3,10745.3,5.4,0,0,26.5,40
C2 wood+electric,now,2026,55448.1,13755.6,10907.8,5.5,0,0,26.5,40
P pellet boiler,now,2026,55571.3,14633.0,10631.1,5.7,0,0,26.5,40
D +solar thermal,now,2026,55448.1,63297.8,18356.4,5.5,0,0,26.5,40
E heat pump,now,2026,55748.2,33375.4,9678.9,16.0,0,0,26.5,40
F PV SSW pan,now,2026,55748.2,33375.4,5266.0,16.0,0,0,26.5,40
F2 PV both pans,now,2026,55748.2,33375.4,1724.8,16.0,0,0,26.5,40
Ref 20C no setback,now,2026,55880.3,69677.3,20206.4,5.5,0,0,26.6,73
A do nothing,+10y,2036,0,13195.3,3826.7,1.6,0,1209,26.8,68
O oil boiler,+10y,2036,53896.7,5905.2,9990.7,5.8,0,0,26.8,70
B electric,+10y,2036,53758.4,66953.8,19416.6,5.5,0,0,26.8,70
C wood only,+10y,2036,53359.3,13195.3,10552.6,5.4,0,0,26.8,70
C2 wood+electric,+10y,2036,53758.4,13594.4,10668.4,5.5,0,0,26.8,70
P pellet boiler,+10y,2036,53869.2,14626.1,10433.4,5.7,0,0,26.8,70
D +solar thermal,+10y,2036,53758.4,61620.8,17870.0,5.5,0,0,26.8,70
E heat pump,+10y,2036,54040.3,32582.5,9448.9,16.0,0,0,26.8,70
F PV SSW pan,+10y,2036,54040.3,32582.5,5041.5,16.0,0,0,26.8,70
F2 PV both pans,+10y,2036,54040.3,32582.5,1503.1,16.0,0,0,26.8,70
Ref 20C no setback,+10y,2036,54198.3,67995.3,19718.6,5.5,0,0,26.8,101
A do nothing,+20y,2046,0,13195.3,3826.7,2.2,0,941,27.1,110
O oil boiler,+20y,2046,52213.3,5905.2,9763.0,5.8,0,0,27.1,110
B electric,+20y,2046,52086.1,65281.5,18931.6,5.5,0,0,27.1,110
C wood only,+20y,2046,51790.5,13195.3,10354.9,5.4,0,0,27.1,110
C2 wood+electric,+20y,2046,52086.1,13491.0,10440.6,5.5,0,0,27.1,110
P pellet boiler,+20y,2046,52187.4,14624.9,10239.8,5.7,0,0,27.1,110
D +solar thermal,+20y,2046,52086.1,59958.4,17387.9,5.5,0,0,27.1,110
E heat pump,+20y,2046,52352.9,31824.5,9229.1,16.0,0,0,27.1,110
F PV SSW pan,+20y,2046,52352.9,31824.5,4825.9,16.0,0,0,27.1,110
F2 PV both pans,+20y,2046,52352.9,31824.5,1290.9,16.0,0,0,27.1,110
Ref 20C no setback,+20y,2046,52536.2,66333.2,19236.6,5.5,0,0,27.1,142
A do nothing,+30y,2056,0,13195.3,3826.7,2.7,0,753,27.4,151
O oil boiler,+30y,2056,50554.7,5905.2,9538.6,5.8,0,0,27.4,151
B electric,+30y,2056,50436.6,63631.9,18453.3,5.5,0,0,27.4,151
C wood only,+30y,2056,50205.9,13195.3,10155.1,5.4,0,0,27.4,151
C2 wood+electric,+30y,2056,50436.6,13426.0,10222.0,5.5,0,0,27.4,151
P pellet boiler,+30y,2056,50530.2,14622.6,10048.6,5.7,0,0,27.4,151
D +solar thermal,+30y,2056,50436.6,58313.6,16911.0,5.5,0,0,27.4,151
E heat pump,+30y,2056,50690.5,31101.4,9019.4,16.0,0,0,27.4,151
F PV SSW pan,+30y,2056,50690.5,31101.4,4619.7,16.0,0,0,27.4,151
F2 PV both pans,+30y,2056,50690.5,31101.4,1087.4,16.0,0,0,27.4,151
Ref 20C no setback,+30y,2056,50894.5,64691.5,18760.5,5.5,0,0,27.4,178
A do nothing,+40y,2066,0,13195.3,3826.7,3.0,0,654,27.8,172
O oil boiler,+40y,2066,48906.3,5905.2,9315.6,5.8,0,0,27.8,172
B electric,+40y,2066,48795.8,61991.2,17977.4,5.5,0,0,27.8,172
C wood only,+40y,2066,48607.4,13195.3,9953.6,5.4,0,0,27.8,172
C2 wood+electric,+40y,2066,48795.8,13383.8,10008.3,5.5,0,0,27.8,172
P pellet boiler,+40y,2066,48883.2,14613.6,9856.7,5.7,0,0,27.8,172
D +solar thermal,+40y,2066,48795.8,56679.9,16437.2,5.5,0,0,27.8,172
E heat pump,+40y,2066,49038.6,30407.2,8818.1,16.0,0,0,27.8,172
F PV SSW pan,+40y,2066,49038.6,30407.2,4422.0,16.0,0,0,27.8,172
F2 PV both pans,+40y,2066,49038.6,30407.2,891.4,16.0,0,0,27.8,172
Ref 20C no setback,+40y,2066,49261.6,63058.6,18287.0,5.5,0,0,27.8,199
A do nothing,+50y,2076,0,13195.3,3826.7,3.3,0,504,28.1,204
O oil boiler,+50y,2076,47269.5,5905.2,9094.1,5.9,0,0,28.1,204
B electric,+50y,2076,47165.8,60361.2,17504.7,5.6,0,0,28.1,204
C wood only,+50y,2076,47007.3,13195.3,9751.9,5.5,0,0,28.1,204
C2 wood+electric,+50y,2076,47165.8,13353.8,9797.9,5.6,0,0,28.1,204
P pellet boiler,+50y,2076,47247.6,14609.3,9667.4,5.8,0,0,28.1,204
D +solar thermal,+50y,2076,47165.8,55055.1,15966.0,5.6,0,0,28.1,204
E heat pump,+50y,2076,47398.4,29740.6,8624.8,16.0,0,0,28.1,204
F PV SSW pan,+50y,2076,47398.4,29740.6,4232.1,16.0,0,0,28.1,204
F2 PV both pans,+50y,2076,47398.4,29740.6,704.3,16.0,0,0,28.1,204
Ref 20C no setback,+50y,2076,47639.6,61436.6,17816.6,5.6,0,0,28.1,228
